region,year,month,IBMR,sal_base_median,sal_base_l95,sal_base_u95,sal_D1641_median,sal_D1641_l95,sal_D1641_u95,sal_NAA_median,sal_NAA_l95,sal_NAA_u95
Confluence,2001,7,othcaljuv,1,1,1,0.9512019153373084,0.8933270172904826,1.0179406393308483,0.9672249363004412,0.9003251558508905,1.042575181999023
Confluence,2001,7,othclad,1,1,1,1.348911419464597,1.199897511934791,1.548507788782652,1.4333993626638932,1.2584285727587887,1.673863998994797
Confluence,2001,7,othcyc,1,1,1,0.7320239884431181,0.5649413375643825,0.9483213730820103,0.693218883215639,0.5165590640733997,0.9259404386549852
Confluence,2001,7,other,1,1,1,0.4780566119072587,0.3424725643894751,0.6811934676387081,0.4185889978680951,0.2859701519432847,0.6217327092727485
Confluence,2001,7,pdiapfor,1,1,1,1.6785587937699675,1.5075259420491407,1.862335731698888,1.8456146776256093,1.6329774518795772,2.077067808402748
Confluence,2001,8,acartela,1,1,1,1.058460404878757,1.000626875502066,1.1191904643403696,1.0184866179241243,1.0001940836832468,1.0372731711917946
Confluence,2001,8,allcopnaup,1,1,1,0.8704853058708876,0.6521625609559746,1.0877006856932931,0.9492917421355278,0.8701021127101081,1.0199589274144758
Confluence,2001,8,daphnia,1,1,1,0.9129111532638927,0,26.63017633730691,0.9810135824300067,0.482649639008991,1.9728812489253844
Confluence,2001,8,eurytem,1,1,1,0.40863464802094707,0,2.4085898326330595,0.7812025670374594,0,1.3308837696921252
Confluence,2001,8,limno,1,1,1,1.110793451626674,0.9778795450785576,1.2498610197400322,1.035375488368608,0.9941616375154761,1.0753639280281004
Confluence,2001,8,mysid,1,1,1,0.9185344319380334,0.7947144749358387,1.0692322946831974,0.9693425342796494,0.9256079934753589,1.0167642284701004
Confluence,2001,8,othcalad,1,1,1,1.5818267768099101,1.440642192262523,1.752191185806681,1.1643329577798789,1.1270643830782423,1.206661277000362
Confluence,2001,8,othcaljuv,1,1,1,1.0765064674694016,1.0339982911232113,1.1189081147730324,1.0206819683437385,1.0075925636581853,1.03375674535587
Confluence,2001,8,othclad,1,1,1,0.8595945287399073,0.7969536855551378,0.9171867442852624,0.9487067279647764,0.9265353639862998,0.968398708176621
Confluence,2001,8,othcyc,1,1,1,1.1766913422758936,1.0564926967782693,1.307711499846674,1.0567702733158297,1.0207562861087272,1.0937961777022585
Confluence,2001,8,other,1,1,1,1.224906216185857,1.0596850397589448,1.408810304880199,1.0744200774708372,1.0257083399511187,1.1247083946468297
Confluence,2001,8,pdiapfor,1,1,1,0.8742706080851852,0.8252437592311528,0.9304834074220136,0.9550132581935431,0.9367440343208007,0.974551840053939
